,label,text_len,text_punct,text_cap,text_cleaned
0,ham,92,0.098,0.033,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat', '']"
1,ham,24,0.25,0.083,"['ok', 'lar', 'joking', 'wif', 'u', 'oni', '']"
2,spam,128,0.047,0.078,"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', '08452810075over18s', '']"
3,ham,39,0.154,0.051,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say', '']"
4,ham,49,0.041,0.041,"['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though', '']"
5,spam,117,0.068,0.06,"['freemsg', 'hey', 'darling', '3', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'å', '150', 'rcv', '']"
6,ham,62,0.032,0.032,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent', '']"
7,ham,135,0.044,0.074,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', '9', 'copy', 'friend', 'callertune', '']"
8,spam,133,0.045,0.09,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'å', '900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour', '']"
9,spam,126,0.016,0.111,"['mobile', '11', 'month', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free', '08002986030', '']"
10,ham,89,0.067,0.022,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today', '']"
