label,text_len,text_punct,text_cap,raw_text
ham,92,0.098,0.033,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...   "
ham,24,0.25,0.083,Ok lar... Joking wif u oni...   
spam,128,0.047,0.078,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's   
ham,39,0.154,0.051,U dun say so early hor... U c already then say...   
ham,49,0.041,0.041,"Nah I don't think he goes to usf, he lives around here though   "
spam,117,0.068,0.06,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv   "
ham,62,0.032,0.032,Even my brother is not like to speak with me. They treat me like aids patent.   
ham,135,0.044,0.074,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune   
spam,133,0.045,0.09,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.   
spam,126,0.016,0.111,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030   
ham,89,0.067,0.022,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.   "
spam,111,0.072,0.153,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info   "
spam,131,0.061,0.305,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18   "
ham,160,0.025,0.019,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.   
ham,28,0.071,0.929,I HAVE A DATE ON SUNDAY WITH WILL!!   
spam,131,0.084,0.176,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL   "
ham,23,0.261,0.043,Oh k...i'm watching here:)   
ham,63,0.079,0.048,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.   
ham,46,0.022,0.087,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b   
spam,133,0.06,0.248,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+   "
ham,34,0.029,0.029,Is that seriously how you spell his name?   
ham,39,0.0,0.051,IÛ÷m going to try for 2 months ha ha only joking   
ham,43,0.163,0.07,So Ì_ pay first lar... Then when is da stock comin...   
ham,69,0.043,0.043,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?   
ham,47,0.043,0.064,Ffffffffff. Alright no way I can meet up with you sooner?   
